Program Name,Acronym,Agency,Prime Contractor,City,State,ZIP Code,Contract Number,Contract Value,Period Start,Period End
16th Air Force Mission IT Support,16AF Mission IT,Air Force,ManTech,QUANTICO,VIRGINIA,22134,FA807519FA029,"$316,952,144.94",2019-08-29,2024-09-30
53rd Air Wing IT/EW Support,53rd Air Wing,Air Force,"SAIC / Leidos (indicative, not confirmed)",SAN ANTONIO,TEXAS,78243,FA877319FA023,"$39,874,973.53",2019-04-28,2025-10-27
Advanced Battle Management System,ABMS,Air Force,Multi (SAIC supports parts),COLORADO SPRINGS,COLORADO,80912,FA251822F0034,"$2,893,647.82",2022-06-27,2026-06-28
Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment,AMRAAM,Air Force,Raytheon,ANDOVER,MASSACHUSETTS,01810,W31P4Q15C0022,"$5,608,431,752.51",2014-12-19,2025-05-31
Aegis Ballistic Missile Defense / Aegis Program,Aegis,Navy,Lockheed Martin,FORT WORTH,TEXAS,76108,N0001917C0001,"$35,135,514,910.20",2017-11-17,2031-03-31
AF National Capital Region IT Support (AFNCR),AFNCR IT,Air Force,Leidos (historical incumbent),FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
AFCENT SCORPION Cyber Task (ISSO/ISSM Support),SCORPION,Air Force,CACI,COLORADO SPRINGS,COLORADO,80919,FA882316C0004,"$600,725,818.08",2016-06-13,2025-12-09
Air Force Advanced Battle Management System,ABMS,Air Force,"Multiple: SAIC, Leidos, Booz Allen Hamilton",HERNDON,VIRGINIA,20171,36C10B21N10150056,"$1,139,008,033.13",2021-01-08,2025-04-15
Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,Platform One / Cyber Portfolio,Air Force,SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),COLORADO SPRINGS,COLORADO,80919,FA882316C0004,"$600,725,818.08",2016-06-13,2025-12-09
Air Force GIS Program (Lockheed Martin),AFGIS (LM),Air Force,Lockheed Martin,FORT WORTH,TEXAS,76108,N0001902C3002,"$34,173,959,111.96",2001-10-26,2022-12-16
ARCYBER Information Advantage / Mission Support (general),ARCYBER,Army,Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),FORT GEORGE G MEADE,MARYLAND,20755,47QFCA19F0033,"$487,767,432.14",2019-02-11,2024-02-11
Army “Project Convergence”,,Army,SAIC,COLORADO SPRINGS,COLORADO,80920,W15QKN19F1290,"$39,320,458.07",2019-08-28,2025-08-29
Army AESD Enterprise Service Desk,AESD,Army,SAIC,SAN ANTONIO,TEXAS,78243,FA877319FA023,"$39,874,973.53",2019-04-28,2025-10-27
Army ALTESS Cloud Hosting,ALTESS,Army,Leidos,FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
Army Backbone Infrastructure Modernization – Task Order 2,BIM TO2,Army,CACI,CHANTILLY,VIRGINIA,20151,W15QKN15C0049,"$733,720,754.55",2015-05-18,2025-06-02
Army Backbone Infrastructure Modernization – Task Order 3,BIM TO3,Army,CACI,CHANTILLY,VIRGINIA,20151,W15QKN15C0049,"$733,720,754.55",2015-05-18,2025-06-02
Army Enterprise Service Desk,AESD,Army,SAIC,SAN ANTONIO,TEXAS,78243,FA877319FA023,"$39,874,973.53",2019-04-28,2025-10-27
Army Enterprise Service Management Framework,AESMF,Army,SAIC,COLORADO SPRINGS,COLORADO,80920,W15QKN19F1290,"$39,320,458.07",2019-08-28,2025-08-29
Army Futures Command – Project Convergence,,Army,SAIC (major integrator; autonomy & AI work),COLORADO SPRINGS,COLORADO,80920,W15QKN19F1290,"$39,320,458.07",2019-08-28,2025-08-29
Army Integrated Battle Command System,IBCS,Army,Northrop Grumman,CHANDLER,ARIZONA,85286,HQ085621C0003,"$2,395,436,919.18",2021-03-25,2028-12-31
Army Integrated Battle Command System Support,IBCS,Army,Northrop Grumman (prime); CACI (support),CHANTILLY,VIRGINIA,20151,W15QKN15C0049,"$733,720,754.55",2015-05-18,2025-06-02
Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,CACI,ARLINGTON,VIRGINIA,22202,47QFRA19F0011,"$708,253,079.87",2019-05-08,2024-04-30
Army Missile & Space R&D Support (Huntsville),,Army,Dynetics; Northrop teams,ROY,UTAH,84067,F4261098C0001,"$10,009,419,769.13",1997-12-22,2025-11-30
